nuclides,reactions,groups,xs
H1,"(n,gamma)",1,0.10149602725924413
H2,"(n,gamma)",1,0.00015537497165758884
H2,"(n,2n)",1,0.0001742146613239019
N14,"(n,gamma)",1,0.02291886778012806
N14,"(n,2n)",1,3.691799867219352e-08
N14,"(n,p)",1,0.5624210919353465
N14,"(n,a)",1,0.003633895173940053
N15,"(n,gamma)",1,1.0679662205494438e-05
N15,"(n,2n)",1,6.058945370051105e-07
N15,"(n,p)",1,3.0612507931943835e-07
N15,"(n,a)",1,1.2078365506245825e-06
O16,"(n,gamma)",1,7.912667358727224e-05
O16,"(n,p)",1,4.756120725930115e-07
O16,"(n,a)",1,0.00025400748579437044
O17,"(n,gamma)",1,0.001187195175307509
O17,"(n,2n)",1,9.050544410547923e-07
O17,"(n,p)",1,3.531007910058071e-07
O17,"(n,a)",1,0.08106475910326817
Ti46,"(n,gamma)",1,0.18324533326362588
Ti46,"(n,p)",1,0.0003348512433587089
Ti46,"(n,a)",1,3.515974543150084e-05
Ti47,"(n,gamma)",1,0.5187942826570948
Ti47,"(n,2n)",1,8.197314896865668e-06
Ti47,"(n,p)",1,0.0007560692781194173
Ti47,"(n,a)",1,0.00037814161372067207
Ti48,"(n,gamma)",1,2.5436337039312176
Ti48,"(n,2n)",1,1.7132066699946944e-06
Ti48,"(n,p)",1,7.763266687169278e-06
Ti48,"(n,a)",1,1.1757047784377411e-06
Ti49,"(n,gamma)",1,0.5727439865874192
Ti49,"(n,2n)",1,1.0980783939545788e-05
Ti49,"(n,p)",1,3.8293913169193115e-05
Ti49,"(n,a)",1,3.603046112914733e-06
Ti50,"(n,gamma)",1,0.055179633566211944
Ti50,"(n,2n)",1,5.7740798556713784e-06
Ti50,"(n,p)",1,1.75135368953723e-07
Ti50,"(n,a)",1,1.697977393500831e-07
Fe54,"(n,gamma)",1,0.694757536836397
Fe54,"(n,p)",1,0.0028297120627199888
Fe54,"(n,a)",1,2.3486399235797133e-05
Fe56,"(n,gamma)",1,0.7997000822427744
Fe56,"(n,2n)",1,2.558495188131418e-06
Fe56,"(n,p)",1,2.543851809211854e-05
Fe56,"(n,a)",1,1.0282459047573819e-05
Fe57,"(n,gamma)",1,0.7531432159129277
Fe57,"(n,2n)",1,2.7460699156954053e-05
Fe57,"(n,p)",1,2.2466677263189454e-05
Fe57,"(n,a)",1,3.464115939742294e-05
Fe58,"(n,gamma)",1,0.3840461850666407
Fe58,"(n,2n)",1,1.0373299149930427e-05
Fe58,"(n,p)",1,1.8860565324500322e-07
Fe58,"(n,a)",1,1.1565847208444793e-06
